Case Type,Cousulting Ferm,Industry Coverage,text,title
mergers & acquisitions  | pricing & valuation,Mercer,mining & metals production,"Case Interview Question #01205: Your client Anglo American plc (LSE: AAL) is a multinational mining company based in Johannesburg, South Africa and London, United Kingdom. It is the world’s largest producer of platinum, with around 40% of world output, as well as being a major producer of copper, nickel, zinc, lead, silver, and iron ore. The company has operations in Africa, Asia, Australia, Europe, North America and South America, operating mines in 26 different countries and producing 8 different metals.
Recently, one of our client Anglo American’s competitors has expressed an interest in selling two of their mines, and our client Anglo American is considering buying these two mines. As such, they’ve hired our consulting firm to help them think through the potential acquisition as well as identify any other factors they should consider as they proceed. How would you go about analyzing the case?
",Anglo American to Buy a Silver Mine from Competitor
new product | market sizing | industry analysis,Siemens Management Consulting (SMC),"aerospace, defense","Case Interview Question #01204: Your client is Rolls Royce Holdings (LSE: RR), a leading manufacturer of jet engines for the global aviation market. Established in 1904, today Rolls Royce designs, produces and distributes power systems for aviation and other industries. Rolls Royce is the world’s second largest maker of aircraft engines and has major businesses in the marine propulsion and energy sectors.
With the rise of flagship airlines from Southeast Asia and the Middle East, often backed by wealthy and powerful governments, the time has never been better to manufacture airplane parts. To satisfy the upcoming demand, Rolls Royce has been investing heavily in their upcoming model of jet engine: the Trent 1000-TEN Turbofan engine. Estimates of the R&D expenditures stretch to USD $1 billion, so the company is very concerned with its potential success and want to know two things: First, what is the size and nature of the market they are launching this product into? Second, how can they reduce the risk to the company of this project?
",Rolls-Royce to Unveil Trent 1000-TEN Turbofan Engine
"operations strategy, optimization",Bridgespan Group,"healthcare: hospital & medical | government, public sector","Case Interview Question #01203: Your client The World Health Organization (WHO) is a specialized agency of the United Nations that is concerned with international public health. It was established in 1948, headquartered in Geneva, Switzerland. Since its creation, WHO has played a leading role in the eradication  of a number of communicable diseases.
WHO recently launched the Global Polio Eradication Initiative and they hired your consulting firm to help them with their fight to eradicate polio. Polio is an infectious disease caused by the poliovirus. Poliovirus is usually spread from person to person through infected fecal matter entering the mouth. It may also be spread by food or water containing human feces and less commonly from infected saliva. The disease is preventable with the polio vaccine; however, a number of doses are required for it to be effective.
WHO is struggling with two related problems in the Global Polio Eradication Initiative. One, out of the countries that have requested their help to fight polio, which should they choose to go into first. Second, once they have chosen a particular location to go into, what factors need to be considered to ensure success. To start, what are the characteristics you would look for to identify the best location for the WHO to start with?
",WHO to Launch Global Polio Eradication Initiative
growth strategy | increase revenues,Arthur D. Little," telecommunications, network","Case Interview Question #01202: Your client is Bell MTS (formerly Manitoba Telecom Services), a regional telecommunications provider in Canada. Bell MTS operates telecommunications services in the Canadian province of Manitoba. The company’s head office is located in MTS Place on Main Street, in Downtown Winnipeg, Manitoba.
Recently, the client Bell MTS sold Allstream Inc., their national business internet provider, to U.S. fibre optic provider Zayo Group for $520 million in cash. The senior managements of Bell MTS are now looking to use the cash from this deal to accelerate growth for the company. Your consulting firm has been hired to help them develop growth strategies. How could they accomplish this?
",Bell MTS to Improve Customer Experience and Reduce Churn
new product,ClearView Healthcare Partners,"healthcare: pharmaceutical, biotech, life sciences","Case Interview Question #01201: Our client Celgene Corporation (NASDAQ: CELG) is an American pharmaceutical and biotech company that discovers, develops and commercializes medicines for a number of diseases and disorders. The company is incorporated in Delaware and headquartered in Summit, New Jersey.
The client Celgene Corporation has recently developed a new drug for apoplexy. The drug, brand named “Revlimid”, has been clinically proven to be safe and effective, and is the only product that is at this stage in our client’s business. Should our client Celgene proceed with commercializing the drug?
Note: Apoplexy (meaning ‘a striking away’) is bleeding within internal organs and the accompanying symptoms. For example, cerebral apoplexy is bleeding in the brain. The term formerly referred to what is now called a stroke; nowadays, health care professionals typically specify the type of apoplexy, such as cerebral, ovarian and pituitary apoplexy. In this case, we use the word “apoplexy” to refer to cerebral apoplexy or stroke only.
",Celgene Corp to Commercialize New Drug for Stroke
new product,ClearView Healthcare Partners,"healthcare: pharmaceutical, biotech, life sciences","Case Interview Question #01200: Our client Vertex Pharmaceuticals (NASDAQ: VRTX) is a large pharmaceutical and biotech company based in Boston, Massachusetts, United States. Vertex’s product pipeline is focused on viral infections, inflammatory and autoimmune disorders, and cancer. It maintains headquarters in South  Boston, Massachusetts, and two research facilities, in San Diego, California, and Oxford, England. 
Hepatitis C is an infectious disease caused by the hepatitis C virus (HCV) that primarily affects the liver. During the initial infection people often have mild or no symptoms. Over many years, however, it often leads to liver disease and occasionally cirrhosis. In some cases, those with cirrhosis will develop complications such as liver failure, liver cancer, or dilated blood vessels in the esophagus and stomach.
One of Vertex’s research labs has recently developed a new drug for treating Hepatitis C positive patients. Should they launch this new drug on the market? If so, when and how?
",Vertex to Launch New Hepatitis C Drug in Two Years
"new product, new technology | pricing & valuation",Simon-Kucher & Partners (SKP),"agriculture, farming, aquaculture","Case Interview Question #01199: Your client is E. I. du Pont de Nemours and Company, commonly referred to as DuPont, an American chemical conglomerate. As of 2015, DuPont was the world’s fourth largest chemical company based on market capitalization and eighth based on revenue. DuPont’s businesses are organized into five categories: Electronic and Communication Technologies, Performance Materials, Coatings and Color Technologies, Safety and Protection, and Agriculture and Nutrition.
DuPont’s agriculture business division, DuPont Pioneer, makes and sells hybrid seed and genetically modified seed, some of which goes on to become genetically modified food. Recently, their agri-business division has developed a genetically modified watermelon seed that grows watermelons that are larger, more resistant to disease and matures more quickly. What are some of the issues they should consider when bring the new watermelon seeds to market?
",DuPont to Market Genetically Modified Watermelon Seeds
private equity & investment | pricing & valuation,Cambridge Associates,"pharmaceutical, biotech, life sciences | agriculture, farming, aquaculture","Case Interview Question #01198: Your client Apollo Global Management, LLC (NYSE: APO) is a major private equity firm in the United States. The firm specializes in leveraged buyout transactions and purchases of distressed securities involving corporate restructuring, special situations, and industry consolidations. Apollo is headquartered in New York City, and also has offices in Los Angeles, Houston, London, Frankfurt, Luxembourg, Singapore, Hong Kong and Mumbai. As of August 2017, they have more than $200 billion in assets under management (AUM), invested across a wide range of companies.
Recently, the client Apollo has been in talks with Cotton Corp, a biotech startup company that has developed a new proprietary technology, a genetically modified cotton that allows twice as much cotton to be extracted from a cotton plant. Since the technology/product is the first of its kind, they know it has strong market potential, but as a small startup company Cotton Corp lacks the resources to bring it to market. Your client Apollo has hired you to advise them on how much to offer to buy Cotton Corp. Apollo seeks to achieve a 20% IRR (internal rate of return) on all of its investments.
",New Genetically Modified Cotton Improves Yield by 100%
mergers & acquisitions  | pricing & valuation,Mercer,"pharmaceutical, biotech, life sciences | healthcare: hospital & medical","Case Interview Question #01197: The client Valeant Pharmaceuticals International, Inc. (NYSE: VRX) is a multinational specialty pharmaceutical company based in Laval, Quebec, Canada. Valeant develops, manufactures and markets a broad range of pharmaceutical products primarily in the areas of dermatology, gastrointestinal disorders, eye health, neurology and branded generics.
Bausch & Lomb, an American healthcare company headquartered in Bridgewater, New Jersey, is one of the world’s largest suppliers of eye health products, including contact lenses, lens care products, medicines and implants for eye diseases. The company employs about 13,000 people in 36 countries. Bausch & Lomb was a public company listed on the NYSE until it was acquired by the private equity firm Warburg Pincus in 2007.
The year is 2013. Valeant Pharmaceuticals just announced that it agreed to buy Bausch & Lomb from private equity firm Warburg Pincus for $8.7 billion. Was this a good deal? Why or why not?
",Valeant Agrees to Buy Bausch & Lomb in $8.7 Billion Deal
reduce costs,Huron Consulting Group, manufacturing | metals production,"Case Interview Question #01196: Your client Steel Works Inc. is a large steel manufacturing company based in the city of Chicago. Founded in the 1940s, the company has been facing some challenging times lately. They are facing tremendous pressure from competition who are stealing away customers by offering cheaper prices.
The management of Steel Works Inc. is currently exploring the option to shut down one of its three production units to consolidate operations and reduce its total operating costs. You have been asked to identify which one of the three production units they should close down in order to reduce their total operating costs. Share with the candidate Exhibit 1. What would you recommend?
Exhibit 1. Three Production Units of Steel Works Inc. 

• Figure not drawn to scale.
• A, B and C are the 3 production units of Steel Works Inc.
• Shipping is managed via road and canal.
• Sparkling canal is expected to undergo a $50M revitalization project partially funded by Steel Works Inc.
",Chicago Steel Company to Close Down One Production Unit
industry analysis | math problem,Deloitte Consulting,non-profit organization | tourism,"Case Interview Question #01195: Your client is the American Southwest Preservation Trust (ASPT), a non-profit organization headquartered in Austin, Texas. The trust is tasked with promoting wildlife conservation and eco-tourism in the American Southwest. One of the biggest tourist draws is local fauna, particularly coyotes.
The coyote, also known as the American jackal, is a canid native to North America. It is smaller than its close relative, the gray wolf, and slightly smaller than its other close relatives, the eastern wolf and the red wolf. The coyote population in the American Southwest has declined significantly from historical levels. The Trust requests your help to figure out why and what it should do. How would you go about analyzing this case?
",ASPT to Foster Coyote Population in Southwest
"new product, new technology | growth strategy",Alvarez & Marsal,"insurance: property & casualty | software, information technology (IT)","Case Interview Question #01194: Your client Safe Auto Insurance Company is a property and casualty auto insurance carrier based in New Jersey, United States. Recently, SafeAuto is exploring telematics and has identified whether OBD (On-Board Diagnostics) or a mobile solution is the right fit for them. Telematics is defined as the convergence of informatics and telecommunications to transmit data. Think about FitBit, GM OnStar, and Ford Sync, which collect and use data to deliver additional services to consumers. With Telematics, SafeAuto can capture driving data and use it to better price insurance premiums.
The client SafeAuto hopes that using telematics will enable it to enroll new customers and reverse its decline in market share. The company has hired you to identify which telematics strategy is the right fit for them. The company is also interested in understanding how it can increase its engagement with its customers and provide them additional services.  Specifically they are interested in growing in states where SafeAuto has a low brand perception.
",SafeAuto to Introduce A Mobile Solution
reduce costs,Bridgespan Group,"transportation  | government, public sector","Case Interview Question #01193: Washington is a state in the Pacific Northwest region of the United States. Washington is the 18th largest state with an area of 71,362 square miles, and the 13th most populous state with over 7 million people. Washington has a system of state highways, called State Routes, as well as an extensive ferry system which is the largest in the nation and the third largest in the world. 
Your client is Washington State Department of Transportation (WSDOT). The Washington Department of Transportation controls six modes of transportation: aviation, biking, ferries, rail, public transportation (e.g. busses), and walking. With budget cuts and rising energy costs projected for the coming fiscal year, your client WSDOT evaluated each mode of transportation and determined that it must improve the financial performance of its ferries. The Washington Department of Transportation has employed your consulting firm to assess the current state of its ferry operations and recommend a strategic plan for improving financial performance. How would you go about it?
",WSDOT to Improve Financial Performance of Ferries
new business | math problem,ZS Associates,"tobacco, alcohol","Case Interview Question #01192: Cannabis, also known as marijuana among other names, is a psychoactive drug from the Cannabis plant intended for medical or recreational use. Marijuana is often used for its mental and physical effects, such as a “high” or “stoned” feeling, a general change in perception, euphoria (heightened mood), and an increase in appetite.
Over the last few years some states in the U.S. have legalized medical marijuana sales on a prescription basis, and some have even legalized recreational use. The cultivation and sales of marijuana most often take place in small storefronts called dispensaries. In most states, limits have been created on how many dispensaries are allowed to exist at any one time.
Your client, American Tobacco Company, is a tobacco company headquartered in Durham, North Carolina. The company was one of the original 12 members of the Dow Jones Industrial Average in 1896. The company made $8 Billion in revenue and $2 Billion in profits last year, but has seen declining use of cigarettes in the United States, which currently makes up 25% of its total revenue and profit. American Tobacco is considering moving into the recreational marijuana market. What should they do? Assume that federal regulations are not a concern in this case.
",American Tobacco to Enter Recreational Marijuana Business
new product | private equity and investment,IMS Health Consulting Group ,"healthcare: pharmaceutical, biotech, life sciences","Case Interview Question #01191: Your client AVEO Pharmaceuticals Inc. is a biotechnology and pharmaceutical company based in Cambridge, Massachusetts that specializes on cancer research and cancer treatments. The company spun out of Dana-Farber Cancer Institute labs in 2002. Like many other biotechs, Aveo began with a commitment to cutting-edge research and an adaptable business model.
The client Aveo Pharmaceuticals has developed a new cancer drug called “tivozanib” designed to treat a special form of kidney cancer named “renal cell carcinoma” (RCC). Preliminary Phase I trials indicate tremendous potential, but the costs to get the drug FDA (Food and Drug Administration) approved and to market are extremely high. The rewards can be huge — life-extending therapies for patients and financial bonanzas for investors. But more often, years of drug development and the drawn-out approval process ultimately lead nowhere.
Advent International, a global private equity firm headquartered in Boston, has approached Aveo Pharmaceuticals offering to pay $150M for 50% of all future drug tivozanib profits. Aveo Pharmaceuticals wants you to tell it what to do.
",AVEO’s Tivozanib Entering Phase 2 of Clinical Trial
market entry | math problem,American Express,life & health insurance,"Case Interview Question #01190: Your client, Zenith Insurance Company, is an American regional insurance firm headquartered in Charlotte, North Carolina. The firm sells workers’ compensation insurance policies exclusively. Workers’ compensation is an insurance policy that companies purchase to protect themselves from lengthy  litigation and unexpected and incredibly high legal fees related to employees who are injured at work. Workers’ compensation is paid by the company on a per-employee basis each month and in exchange, the policy covers medical, indemnity, and other expenses. For example, if an employee falls off a ladder and breaks a leg, workers’ compensation pays for the employee’s medical bills and indemnity or lost wages. The policy also covers other related expenses. Companies are required by state law to purchase workers’ compensation plans.
Your client Zenith Insurance has been successful in three southern states: North Carolina, South Carolina, and Georgia, but is considering entering a new state. The managements of Zenith Insurance would like your help to determine if this is a good idea. If so, which state should Zenith enter? How would you go about this case?
",Zenith Insurance to Expand into State of Virginia
pricing & valuation | industry analysis,Deloitte Consulting,life & health insurance | property & casualty insurance,"Case Interview Question #01189: Our client, American Insurance Group, Inc. (NYSE: AIG), is a large, multi-national insurance provider, with revenues of over $25B in 2009. The company operates through three businesses: AIG Property Casualty, AIG Life and Retirement, and United Guaranty Corporation (UGC). However, the tightening of the credit markets and downturn in the economy has caused their profitability to drop significantly from 10% to 5% in the most recent year.
As a result of recent economic downturn, our client American Insurance Group has decided to evaluate their business portfolio and divest portions of their business to raise capital and refocus on their core General Insurance business. Their goal is to raise over $3B in capital through the sale of various business units. The management team has already identified two potential candidates for divestiture from its Life Insurance and Property and Casualty divisions.
It is considering divesting one of the following two business units, in addition to several other businesses across the company:
(1) LifeLine Asia: Asian-based life insurance business, with $250MM in annual revenues.
(2) All-World Property and Casualty (P&C) : A US-based Property and Casualty insurance business, with $100MM in annual revenues.
Deloitte Consulting has been engaged to identify and recommend the most viable business unit candidates for divestiture, as well as assist in the operational separation of the business units’ operations from American Insurance Group.
Our client American Insurance Group has approached Deloitte Consulting to assess candidates for divestiture and to develop a game plan for executing the divestiture of selected business units.
1. What would you estimate as the potential sales price for each company? Please use available data to support your argument (Note to interviewer: Please provide candidate with data sheet, candidate can make assumptions as necessary)
2. Which company would you advise American Insurance Group to divest?
3. What are some of the other key factors that American Insurance Group should consider when assessing which units to divest?
",American Insurance Group to Divest P&C Business Unit
investment | math problem,Bridgespan Group,"government, public sector","Case Interview Question #01188: Your client is the Michigan Economic Development Corporation (MEDC), a public-private partnership state agency and economic development corporation dedicated to job creation in the U.S. state of Michigan. Operating under the slogan “Pure Michigan”, the MEDC attempts to  encourage the tourism potential of the state and foster business relocations to Michigan.
The year is 2015. Michigan is still recovering from the economic recession in 2009, when Michigan had the highest unemployment rate in the country at 13.4% and also the highest net emigration, with over 86,000 citizens leaving the state, presumably to find work elsewhere. Five years later the state of Michigan is slowly recovering and MEDC wants to know what to do to make Michigan more attractive. What would you recommend?
","MEDC to Add 1,000 Jobs and Bring in $40MM in CAPEX"
"reduce costs | organizational behavior, human capital",Mercer,"software, information technology (IT)","Case Interview Question #01187: Your client EMC Corporation (NYSE: EMC) is a multinational enterprise (that builds applications for businesses) information technology company (IT) headquartered in Hopkinton, Massachusetts, United States. EMC sells data storage, information security, virtualization, analytics, cloud computing and other products and services that enable organizations to store, manage, protect, and analyze data. Their target markets include large companies and small- and medium-sized businesses across various vertical markets.
The client EMC has outsourced large parts of its organization, thereby reducing its employee base by 60%. Yet, they are spending $1.8B, $150M more than industry benchmarks (Provide Exhibit #1 now). Tensions among employees are high with fears of more lay-offs, and there is immense pressure on the CEO of EMC Corporation, your client, to close  the gap to industry benchmarks. How would you advise the client?
",EMC to Centralize Development and 50% of Admin Staff
new business | investment,Roland Berger Strategy Consultants,"small business, startups | agriculture, farming, aquaculture","Case Interview Question #01186: You have an ambitious first-cousin, Farmer Charlie, who hears that you’ve landed a job at a top consulting firm and he wants some advice from you on his small business. Farmer Charlie founded and currently runs a small agriculture business in the state of Mississippi. He sells organic grass-fed beef and lamb to high-end restaurants and progressive grocers/butchers (think smaller scale “Whole Foods”) in Baton Rogue, New Orleans, and Jackson, Mississippi.
Farmer Charlie’s organic beef and lamb product is one of the only local meat options for high-end restaurants. Revenue growth is strong but he is seeing shrinking profits. He asks you, “What can I be doing to curb against those shrinking profits and take full control of my product and market?” How would you go about this case?
",Organic Meat Producer to Enter Meat Processing Business
math problem | operations strategy,Google,"government, public sector | startups","Case Interview Question #01185: Alphabet City is the capital of and the most populous city in the U.S. state of Georgia, with an estimated 2016 population of 472,522. Alphabet City is the cultural and economic center of the AC metropolitan area, home to more than 5,710,000 people and the ninth-largest metropolitan area in the United States. Alphabet City’s economy is considered diverse, with dominant sectors that include logistics, professional and business services, media operations, and information technology.
Alphabet City is governed by a mayor and the Alphabet City Council. The city council consists of 15 representatives—one from each of the city’s 12 districts and three at-large positions. Recently, the Alphabet City Council has approached you to identify and roadmap how Alphabet City can become one of the top cities for entrepreneurship in the United States. How would you approach this challenge? 
",City Council to Increase Number of Angel Investors in Atlanta
"organizational behavior, human capital",Huron Consulting Group,non-profit organization | information technology (IT),"Case Interview Question #01184: Ecosystems International (EI) is a nonprofit organization that works to preserve endangered ecosystems throughout the world. The organization is comprised of a headquarters and 120 local offices across the globe. Historically, headquarters has provided local offices with standardized curriculum and marketing materials, but each local office has operated independently with its own board of directors, operating processes and data management systems. In recent years, EI headquarters has been working to change this, particularly in regards to data management.
In order to better fundraise with corporate-level donors, EI headquarters wants to be able to see and report real time information on the organization’s volunteers and fundraising information. In order to accomplish this, EI recently mandated that local offices convert to a central CRM (customer relationship management) over the next five years. This mandate was met with great resistance from many EI local offices and since the beginning of the project, headquarters has been concerned about the success and reputation of the project.
Using an internal team, EI piloted implementing the CRM system at six local offices. Each of these offices had different legacy data management systems and business process transformations that needed to be taken into consideration. After a year of piloting the system, the project has suffered considerable challenges. EI headquarters is receiving calls from local office leadership complaining that the system is cumbersome and employees are tremendously overworked trying to adjust to it. In addition, the implementation team is struggling because each local office data varies greatly, local office leadership is not engaging their staff to adapt to the new system, and there is considerable evidence that employees are not actually using the system.
Overall, the local office pilots have not been successful and word is spreading throughout the entire organization that the CRM adoption is a colossal failure. EI has brought in your consulting firm to advise them on next steps. In particular, the implementation team would like help determining:
• Who are the stakeholders that need to be most considered in order to achieve success?
• What risks does EI face in this project?
• What approach should EI take to ensure that this project does not fail?
• How should it implement the CRM software for the other 114 locations?
",How to Implement CRM System for 120 Local Offices
reduce costs,Capgemini Consulting,banking | information technology (IT),"Case Interview Question #01183: Our client, U.S. Bancorp (NYSE: USB), is a bank holding company based in Minneapolis, Minnesota. It is the parent company of U.S. Bank, the 5th largest bank in North America in terms of number of branch locations, with over $20 Billion in revenue in 2015. The company provides banking, investment, mortgage, trust, and payment services products to individuals, businesses, governmental entities, and other financial institutions. It has more than 3,100 branches and 4,840 ATMs as of 2015.
The client U.S. Bank has grown to this size through years of inorganic growth, with several acquisitions within the past few years. They’ve recently engaged a consulting firm to conduct a benchmarking study which revealed their costs are over-market by $400M. They’ve hired you to identify and fix the underlying cause of this discrepancy. How would you go about it?
",U.S. Bank to Reduce $400 Million in Technology Costs
new product | market sizing, KPMG Advisory, manufacturing,"Case Interview Question #01182: A portable toilet or mobile toilet or porta-potty is a toilet that may easily be moved around. They may be toilets that can be brought on site, such as a festival or building construction site, to quickly provide sanitation services. Some are re-usable and may be moved on to further sites, others are easily installed but become permanent once in place. A major characteristic is that most types do not require any pre-existing services to be provided on-site, such as sewerage disposal, but are completely self contained.
Founded in 1984, your client, Pushman Potties Inc., is a major US manufacturer of portable toilets, commonly referred to as “porta-potties”. Pushman Potties’ porta-potties are typically found in construction sites, agricultural fields, and other industrial settings. However, over the past several years sales of Pushman’s standard porta-potties have stagnated, so  the management team has approached your consulting firm for help. With this in mind, what are some potential avenues to help the client achieve revenue growth?
",Mobile Toilet Maker To Enter Luxury Porta-Potty Market
improve profitability | math problem, IBM Global Business Services (GBS), telecommunications & network,"Case Interview Question #01181: Your client Cisco Systems, Inc. (NASDAQ: CSCO) is an American technology company headquartered in San Jose, California. The company develops, manufactures, and sells super high speed networking hardware, telecommunications equipment, and other high technology services and products.
In 2009, Cisco Systems developed a milestone technology that could eliminate 99% of the disconnection issues in traditional devices. This new technology has helped the company become a monopoly in the industry. Last month, Cisco Systems welcomed its new CEO, John Chambers, who is known to be the most aggressive leader in Silicon Valley. John is not satisfied with his company’s current profitability level and wants you to help them on this issue.
",Cisco Systems to Focus on Most Profitable Product
